;Ensino fundamental regular - Anos Finais;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Taxa de Aprovação, Prova Brasil, IDEB e Projeções por Escola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2005, 2007, 2009, 2011 e 2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sigla da UF;Código do Município;Município;Código da Escola;Nome da Escola;Rede;Taxa de Aprovação - 2005;;;;;;;Nota Prova Brasil - 2005;;;Nota Prova Brasil - 2007;;;Nota Prova Brasil - 2009;;;Nota Prova Brasil - 2011;;;Nota Prova Brasil - 2013;;;"IDEB
2005
(N x P)";"IDEB
2007
(N x P)";"IDEB
2009
(N x P)";"IDEB
2011
(N x P)";"IDEB
2013
(N x P)";Projeções;;;;;;;
;;;;;;;;;;;;;;Matemática;Língua Portuguesa;Nota Média Padronizada (N);Matemática;Língua Portuguesa;Nota Média Padronizada (N);Matemática;Língua Portuguesa;Nota Média Padronizada (N);Matemática;Língua Portuguesa;Nota Média Padronizada (N);Matemática;Língua Portuguesa;Nota Média Padronizada (N);;;;;;;;;;;;;
;;;;;;;6º a 9º ano;6º;7º;8º;9º;Indicador de Rendimento (P);;;;;;;;;;;;;;;;;;;;;;2007;2009;2011;2013;2015;2017;2019;2021
2005;CE;2304400;FORTALEZA;23065273;DOM ANTONIO DE ALMEIDA LUSTOSA EEFM;Estadual;71.8;63.7;75.1;86.5;65.6;0.72;;218.71;213.00;3.86;222.48;216.82;3.99;220.06;225.81;4.10;230.20;233.09;4.39;232.14;231.92;4.40;2.8;2.7;2.9;3.0;2.8;2.8;2.9;3.2;3.6;4.0;4.2;4.5;4.8
2005;CE;2304400;FORTALEZA;23065311;ESCOLA MUNICIPAL ANTONIO DIOGO DE SIQUEIRA;Municipal;61.7;54.1;52.2;69.4;77.9;0.62;;233.03;219.36;4.21;233.07;223.01;4.27;240.25;235.15;4.59;235.94;237.92;4.56;241.12;247.17;4.80;2.6;2.5;3.6;3.3;3.8;2.6;2.8;3.1;3.5;3.9;4.2;4.5;4.8
2005;CE;2304400;FORTALEZA;23065346;ESCOLA MUNICIPAL PROFESSOR ANTONIO GIRAO BARROSO;Municipal;57.1;58.9;54.4;47.6;75.5;0.57;;222.85;214.83;3.96;212.89;223.38;3.94;232.04;238.37;4.51;236.45;231.44;4.46;256.55;274.20;5.51;2.3;2.8;2.7;3.1;4.4;2.3;2.6;2.9;3.4;3.8;4.0;4.3;4.6
2005;CE;2304400;FORTALEZA;23065389;ANTONIO SALES E E F M;Estadual;78.3;81.5;85.1;62.1;86.9;0.77;;234.80;228.89;4.39;228.75;222.00;4.18;223.62;222.14;4.10;235.01;241.14;4.60;225.50;232.43;4.30;3.4;3.6;3.1;4.2;3.4;3.4;3.6;3.9;4.3;4.6;4.9;5.2;5.4
2005;CE;2304400;FORTALEZA;23065397;ESCOLA MUNICIPAL ANTONIO SALES;Municipal;-;-;-;-;-;-;;-;-;-;-;-;-;221.16;225.05;4.10;ND;ND;-;-;-;-;-;-;2.8;-;-;-;-;2.9;3.2;3.5;3.8;4.0;4.3
2005;CE;2304400;FORTALEZA;23065486;PROF MARIA ANTONIETA NUNES UV-09 EEFM;Estadual;93.7;91.5;94.4;95.3;93.2;0.94;;235.85;221.00;4.28;218.41;205.16;3.73;236.24;240.07;4.61;222.56;222.58;4.09;228.53;235.43;4.40;4.0;2.7;3.1;3.3;3.3;4.0;4.2;4.5;4.9;5.2;5.5;5.7;6.0
2005;CE;2304400;FORTALEZA;23065494;ANTONIETA SIQUEIRA EEFM;Estadual;74.3;80.8;80.6;67.5;70.3;0.74;;231.04;222.33;4.22;211.37;194.78;3.44;232.73;228.89;4.36;226.51;229.98;4.27;241.81;246.65;4.81;3.1;2.4;3.5;3.0;2.5;3.2;3.3;3.6;4.0;4.4;4.6;4.9;5.2
2005;CE;2304400;FORTALEZA;23065621;ESCOLA MUNICIPAL ARI DE SA CAVALCANTE;Municipal;74.7;66.9;77.0;76.8;84.4;0.76;;233.10;221.90;4.25;233.55;225.01;4.31;225.58;228.38;4.23;239.39;246.62;4.77;244.27;239.91;4.74;3.2;3.1;2.8;3.7;4.0;3.2;3.4;3.7;4.1;4.5;4.7;5.0;5.2
2005;CE;2304400;FORTALEZA;23065680;ESCOLA MUNICIPAL AUTRAN NUNES;Municipal;59.6;49.6;53.6;78.1;66.7;0.60;;219.74;204.83;3.74;-;-;-;-;-;-;-;-;-;-;-;-;2.2;-;-;-;-;2.3;2.5;2.8;3.2;3.6;3.9;4.1;4.4
2005;CE;2304400;FORTALEZA;23065834;ESCOLA MUNICIPAL BARBARA DE ALENCAR;Municipal;71.1;75.0;56.5;70.1;84.4;0.70;;234.31;230.14;4.41;227.07;220.36;4.12;246.53;245.48;4.87;237.65;241.69;4.66;242.14;249.90;4.87;3.1;3.2;4.7;3.9;4.1;3.1;3.3;3.5;3.9;4.3;4.6;4.8;5.1
