26;62;23255854;6944;ESCOLA MUNICIPAL MARIA DALVA SEVERINO MARREIRO - EI / EF;RUA RIO PARAGUAI, 782;60341-270;1;3452-6680;0;1;1;1;0;1;0;546131.74;9588214.11
27;121;23257881;7026;ESCOLA MUNICIPAL MARIA MARIZA MENDES DE CARVALHO - EI / EF;RUA RAIMUNDO CUNHA, 1174;60345-151;1;3452-5844;0;1;1;1;0;1;0;543732.14;9588822.14
28;5;23190787;7160;ESCOLA MUNICIPAL MARIA ROSELI LIMA MESQUITA - EI / EF;RUA FRANCISCO CALAÇA, 1791;60336-045;1;3286-1239 / 3452-6684 ;0;0;0;1;0;1;1;547297.29;9589118.23
29;76;23074876;7402;ESCOLA MUNICIPAL MOURA BRASIL - EI / EF;RUA PADRE MORORÓ, 189;60010-100;1;-;0;1;1;1;1;1;0;551600.32;9588969.6
30;5;23255889;6841;ESCOLA MUNICIPAL NOSSA SENHORA DO PERPÉTUO SOCORRO - EF;RUA CÔNSUL GOUVEIA, 57;60335-390;1;3452-5873;0;0;0;0;1;1;0;548653.5;9589166.79
31;5;23272716;7156;ESCOLA MUNICIPAL PATATIVA DO ASSARÉ - EI / EF;RUA FREI TEOBALDO, 646;60335-220;1;3236-5651;0;1;1;1;0;1;0;548618.78;9589326.88
32;61;23072504;7326;ESCOLA MUNICIPAL PROFESSOR JOSÉ PARSIFAL BARROSO - EF;RUA MAJOR ASSIS, 1076;60346-372;1;3105-1451;0;0;0;0;1;1;0;545653.99;9588441.76
33;61;23072520;7078;ESCOLA MUNICIPAL PROFESSOR JOSÉ REBOUÇAS MACAMBIRA - EI / EF;RUA CIDADE DE CARIÚS, 200;60346-271;1;3284-2978 / 3717 / 3452-6642;0;0;0;1;1;1;1;545424.57;9588562.85
34;77;23074140;7077;ESCOLA MUNICIPAL PROFESSOR MARTINZ DE AGUIAR - EI / EF;RUA BERNARDO PORTO, 470;60320-570;1;3452-6374;0;0;0;1;1;1;1;549130.12;9588563.71
35;61;23076682;6963;ESCOLA MUNICIPAL QUINTINO CUNHA -  EF;RUA MARIA CLARA, 1263;60346-218;1;3488-3275;0;0;0;1;0;1;0;545302.6;9588293.27
36;12;23255960;6838;ESCOLA MUNICIPAL RACHEL DE QUEIROZ - EI / EF;AV. PRESIDENTE CASTELO BRANCO, 5010;60312-060;1;3452-6690;0;1;1;1;0;1;0;547009.64;9590470.84
37;62;23255951;7113;ESCOLA MUNICIPAL RAIMUNDO DE SOUSA MANGUEIRA - EI / EF;RUA ALBERTO FERREIRA, 624;60341-140;1;3452-6682 / 6694 ;0;0;0;1;0;1;0;546230.53;9588490.85
38;12;23263318;7172;ESCOLA MUNICIPAL REITOR PEDRO TEIXEIRA BARROSO - EF;AV. FRANCISCO SÁ, 6623;60330-875;1;3252-3977;0;0;0;0;1;1;0;546193.7;9590109.68
39;35;23069198;7325;ESCOLA MUNICIPAL SANTA TEREZA - EF;AV. MONSENHOR HÉLIO CAMPOS, 90;60336-800;1;-;0;0;0;1;1;1;0;548457.39;9590340.29
40;35;23067756;7271;ESCOLA MUNICIPAL SÃO CURA D'ARS - EI / EF;RUA SANTA ELISA, 722;60311-020;1;3236-5749;0;1;1;1;0;1;0;548895.98;9590333.53
41;35;23077450;7988;ESCOLA MUNICIPAL SEBASTIANA ALDIGUERI -  EF;RUA DR. THEMBERG, 448 ;60335-480;1;-;0;0;0;0;1;1;0;548487.28;9590135.63
42;56;23547987;7409;ESCOLA MUNICIPAL SECRETÁRIO PAULO PETROLA - EF;RUA CARNEIRO DA CUNHA, 415;60010-470;1;-;0;0;0;1;1;1;0;550556.27;9588281.58
43;24;23311614;6842;ESCOLA MUNICIPAL TERTULIANO CAMBRAIA - EI / EF;RUA MONSENHOR ROSA, 946;60310-440;1;-;0;1;1;1;0;1;0;549391.82;9589570.19
44;35;23256044;7190;ESCOLA MUNICIPAL VIRGÍLIO TÁVORA - EI / EF;AV. MONSENHOR HÉLIO CAMPOS S/N ;60336-800;1;-;0;1;1;1;0;1;0;548394.19;9590416.16
45;62;23065168;8113;ESCOLA MUNICIPAL 11 DE AGOSTO - EI / EF;AV. CORONEL CARVALHO, 3121;60341-641;1;-;0;0;0;0;1;1;1;0;0
46;12;23529989;6859;ESCOLA MUNICIPAL TEMPO INTEGRAL ALDEMIR MARTINS ;AV. FRANCISCO SÁ, 7460;60330-878;2;-;0;0;0;0;1;0;0;546030.33;9590301.36
47;47;23271493;6928;ESCOLA MUNICIPAL TEMPO INTEGRAL NOSSA SENHORA DE FÁTIMA ;RUA SILVIO ROMERO, 370;60336-100;2;3452-6653;0;0;0;0;1;0;0;547476.88;9588759.65
48;45;_;6950;ASSOCIAÇÃO DOS CEGOS DO ESTADO DO CEARÁ;RUA ODILON SOARES, 39;60010-820;3;3452-6390;0;0;0;0;0;0;1;550895.74;9587703.76
49;118;_;7997;ESCOLA MUNICIPAL FAUSTINO DE ALBUQUERQUE - UND II;RUA CAP. NESTOR GÓIS, 400 ;60320-380;3;-;0;0;0;1;0;0;0;548676.96;9588452.61
50;12;_;7179;CEI AGOSTINHO MOREIRA E SILVA;RUA PERI, 20;60331-270;4;3252-1854;1;1;1;0;0;0;0;545998.74;9590938.67
51;35;_;7279;CEI ANTÔNIO MENDES;RUA IRINEU DE SOUSA, 188;60337-180;4;3433-8689;1;1;1;0;0;0;0;548008.62;9589817.67
52;121;_;7247;CEI ARLENE ALBERES MEDEIROS;RUA MARIA ZENÓBIA CARNEIRO, 299;60345-825;4;3105-1069;1;1;1;0;0;0;0;543823.15;9588920.46
53;12;_;7016;CEI CASIMIRO JOSÉ DE LIMA FILHO;AV. FRANCISCO SÁ, 6449;60330-878;4;-;1;0;1;0;0;0;0;546365.56;9589962.87
54;12;_;7404;CEI DOIS DE DEZEMBRO;RUA ARAQUÉM, 860;60331-120;4;-;1;0;1;0;0;0;0;546530.25;9590013.35
55;47;_;7237;CEI DOM HELDER CÂMARA;RUA FREI ODILON, 623;60336-190;4;3452-6639;1;1;1;0;0;0;0;547397.51;9588213.87
56;56;_;7387;CEI LENIRA JUREMA DE MAGALHÃES;RUA JACINTO DE MATOS, 906;60310-210;4;-;1;0;1;0;0;0;0;550281.73;9588916.6
57;121;_;7178;CEI MARIA MARIZA MENDES DE CARVALHO;RUA RAIMUNDO CUNHA, 1174;60345-151;4;3105-1059;1;1;1;0;0;0;0;543699.25;9588806.76
58;121;-;7814;CEI MÁRIO QUINTANA;RUA TETA, 900;60349-350;4;-;1;1;1;0;0;0;0;544389.79;9589761.58
59;76;_;7280;CEI MOURA BRASIL;RUA ADARIAS DE LIMA, 378;60010-130;4;3105-1021;1;1;1;0;0;0;0;551603.18;9588841.47
60;47;_;7314;CEI MARIA ROSELI LIMA MESQUITA;TR. LUIZ GUIMARÃES, 261;60336-150;4;3105-1018;1;1;1;0;0;0;0;547709.41;9588462.22
61;61;_;7015;CEI PROFESSOR JOSÉ REBOUÇAS MACAMBIRA;RUA CARIÚS, 200;60346-271;4;3105-1071;1;1;1;0;0;0;0;545348.1;9588588.1
62;77;_;7235;CEI PROFESSOR MARTINZ DE AGUIAR;RUA BERNARDO PORTO, 470;60320-570;4;-;1;1;1;0;0;0;0;549146.78;9588505.9
63;12;_;8083;CEI RACHEL DE QUEIROZ;TV. AURELIO LAVOR, 99;60312-180;4;;1;1;1;0;0;0;0;547028.28;9590475.84
64;62;_;7315;CEI RAIMUNDO DE SOUSA MANGUEIRA;RUA ALBERTO FERREIRA, 564;60341-140;4;-;1;1;1;0;0;0;0;546234.61;9588568.87
65;112;_;7667;CEI ROCHA LIMA;RUA  ERETIDES MARTINS  977;60320-350;4;-;1;1;1;0;0;0;0;548914.49;9587973.57
66;24;_;7147;CEI TERTULIANO CAMBRAIA;RUA MONSENHOR ROSA, 947;60310-440;4;3452-6386;1;0;1;0;0;0;0;549425.23;9589558.19
67;35;_;7014;CEI VIRGÍLIO TÁVORA;AV. MONSENHOR HÉLIO CAMPOS, S/N ;60336-800;4;3452-6681;1;1;1;0;0;0;0;548444.36;9590418.19
68;62;_;8121;CEI 11 DE AGOSTO;RUA ALBERTO FERREIRA, 1790;60341-140;4;;1;1;1;0;0;0;0;0;0
69;56;_;7421;CRECHE AMADEU BARROS LEAL ;AV. FILOMENO GOMES, 110;60010-280;5;-;1;0;1;0;0;0;0;550793.1;9588364.37
70;35;_;8128;CRECHE ANJOS DE DEUS;RUA DONA MENDINHA, 191 ;60337-385;5;;1;0;1;0;0;0;0;0;0
71;12;_;7419;CRECHE ARPOADOR ;RUA GRITO DE ALERTA, 136;60332-070;5;-;1;0;1;0;0;0;0;547712.81;9590641.23
72;77;_;7420;CRECHE FAVO DE MEL ;RUA DOUTOR ALMEIDA FILHO, 326;60320-510;5;-;1;0;1;0;0;0;0;548895.99;9588564.94
73;12;_;7453;CRECHE PEQUENO POLEGAR ;RUA MOACIR, 45;60332-650;5;-;1;0;1;0;0;0;0;546763.52;9590782.97
74;121;_;8090;CRECHE TIA TOINHA;RUA PAULO XENOFONTE, 1037;60345-156;5;;1;0;1;0;0;0;0;543909.79;9588789.01
75;25;23064870;6982;ESCOLA MUNICIPAL ALBA FROTA - EI / EF;AV. DOM MANUEL, 914;60060-090;1;3452-5892;1;1;1;1;0;1;0;552989.1;9587478.51
76;113;23064994;6973;ESCOLA MUNICIPAL ALMERINDA DE ALBUQUERQUE - EI / EF;RUA ANA GONÇALVES, 1105;60130-490;1;3452-1884;0;1;1;1;0;1;0;554822.77;9584516.12
77;114;23065052;7334;ESCOLA MUNICIPAL ALVORADA - EI / EF;RUA ANGRA DOS REIS, 234;60833-046;1;3488-3283;1;1;1;1;0;1;0;558307.97;9580846.52
78;79;23067330;7998;ESCOLA MUNICIPAL COLÔNIA Z-8 - EI / EF;RUA MANUEL JESUINO, 370  ;60175-270;1;-;0;1;1;0;1;1;0;557124.64;9587823.38
79;103;23547995;7406;ESCOLA MUNICIPAL DOM ALOÍSIO LORSCHEIDER - EI / EF;RUA JULIO SILVA, 400;60177-385;1;3105-1412;0;0;0;1;1;1;1;560527.59;9586028.5
80;20;23068302;6977;ESCOLA MUNICIPAL ELEAZAR DE CARVALHO - EI / EF;RUA FRANCISCO ALVES PEREIRA, 349;60180-720;1;3452-7345;0;1;1;1;0;1;0;558198.69;9588542.64
81;103;23250275;7283;ESCOLA MUNICIPAL FREI AGOSTINHO FERNANDES - EI / EF;AV. CÉSAR CALS, 2370;60182-000;1;3452-7351;1;1;1;1;0;1;0;560330.87;9586803.91
82;104;23186160;7287;ESCOLA MUNICIPAL FREI TITO DE ALENCAR LIMA - EI / EF;AV. DIOGUINHO, 5925;60181-770;1;3433-2753 / 3452-7350 ;0;1;1;1;1;1;1;562067.13;9583794.44
83;20;23257369;6951;ESCOLA MUNICIPAL GODOFREDO DE CASTRO FILHO - EI / EF;AV. JOSÉ SABÓIA, 905;60180-480;1;3433-2745 / 3452-7342 ;0;0;0;1;1;1;1;559349.7;9589012.57
